Rating,Content,Count,,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count,,Rating,Content,Count
1,등록,92,,,1,등록,92,,2,하면,18,,3,되는게,3,,4,사용,16,,5,으로,10
1,카드,74,,,1,카드,74,,2,건지,15,,3,불가,3,,4,법인,12,,5,좋아요,10
1,충전,43,,,1,충전,43,,2,바랍니다,7,,3,80%,2,,4,충북대,6,,5,너무,9
1,업데이트,40,,,1,업데이트,40,,2,시간,7,,3,불편합니다,2,,4,지도,5,,5,빠르고,7
1,에서,25,,,1,에서,25,,2,합니다,6,,3,불편,2,,4,모든,4,,5,좋습니다,3
1,차량,22,,,1,차량,22,,2,기능,6,,3,보완,2,,4,대학원,4,,5,90%,2
1,설치,22,,,1,설치,22,,2,로그인,6,,3,있음,2,,4,건축,4,,5,직관,2
1,화면,21,,,1,화면,21,,2,인데,5,,3,렌트카,2,,4,설계,4,,5,반응,2
1,결제,20,,,1,결제,20,,2,안되요,5,,3,가족,2,,4,176,4,,5,일치,2
1,계속,18,,,1,계속,18,,2,됩니다,4,,3,이상은,1,,4,몸무게,4,,5,현대차,2
1,가입,18,,,1,가입,18,,2,없음,4,,3,되어야,1,,4,70,4,,5,불편함,2
2,하면,18,,,1,...,17,,2,업뎃,4,,3,장거리,1,,4,조편성,4,,5,아닌,2
1,...,17,,,1,하고,16,,2,증설,4,,3,없을듯,1,,4,가능하게,3,,5,부탁드립니다,2
1,하고,16,,,1,..,16,,2,자꾸,4,,3,할게,1,,4,설정,3,,5,부분,2
1,..,16,,,1,안됨,16,,2,하나요,4,,3,많아,1,,4,되어,3,,5,아닙니다,2
1,안됨,16,,,1,어플,15,,2,진행,3,,3,보이,1,,4,키로,3,,5,현상,2
4,사용,16,,,1,라고,14,,2,하여,3,,3,지만,1,,4,무조건,3,,5,만들어주세요,2
1,어플,15,,,1,해서,14,,2,안되서,3,,3,나름,1,,4,아픈데,3,,5,EV,1
2,건지,15,,,1,입력,13,,2,버림,3,,3,쓸모,1,,4,없다고해,3,,5,화물차,1
1,라고,14,,,1,오류,13,,2,없어요,3,,3,안되는요,1,,4,병원,3,,5,조정,1
1,해서,14,,,1,하는,11,,2,하며,2,,3,자가,1,,4,간건,3,,5,해주셨으면,1
1,입력,13,,,1,번호,11,,2,되도록,2,,3,글자,1,,4,하지마,3,,5,감사합니다,1
1,오류,13,,,1,안됩니다,10,,2,조치,2,,3,있을까요,1,,4,라운드,3,,5,UI,1
4,법인,12,,,1,뜨고,10,,2,경로,2,,3,과거,1,,4,포인트,3,,5,편리하고,1
1,하는,11,,,1,안되고,10,,2,추천,2,,3,조속,1,,4,타입,2,,5,적이네요,1
1,번호,11,,,1,....,9,,2,데이터,2,,3,가능,1,,4,속도,2,,5,따뜻합니다,1
1,안됩니다,10,,,1,다시,9,,2,회사,2,,3,토록,1,,4,매번,2,,5,원합니다,1
1,뜨고,10,,,1,진짜,9,,2,렌트,2,,3,장기,1,,4,마다,2,,5,ci,1
1,안되고,10,,,1,해도,9,,2,수가,2,,3,관계,1,,4,초기,2,,5,소프트웨어,1
5,으로,10,,,1,회원,9,,2,에는,2,,3,fe,1,,4,필요,2,,5,멀었구나,1
5,좋아요,10,,,1,먹통,8,,2,그대로,2,,,,,,4,없어,2,,5,편리하네요,1
1,....,9,,,1,인증,8,,2,로그아웃,2,,,,,,4,편하고,2,,5,사업자,1
1,다시,9,,,1,니까,7,,2,전혀,2,,,,,,4,^^,2,,5,호환,1
1,진짜,9,,,1,정보,7,,2,않네요,2,,,,,,4,내일,2,,5,전용,1
1,해도,9,,,1,입니다,7,,2,방법,2,,,,,,4,받아,2,,5,깔아야,1
1,회원,9,,,1,확인,7,,2,아이오,2,,,,,,4,예약,2,,5,한다는,1
